type, name, requirement, hint

money,The Money,_personanditemformoney_,
clue,Clue #1,,
clue,Clue #2,,
clue,Clue #3,,
clue,Clue #4,,
clue,Clue #5,,
clue,Clue #6,,
clue,Clue #7,,
public hint,Public Hint #1,,the money is NOT in the _room_
public hint,Public Hint #2,,the money is NOT in the _room_
public hint,Public Hint #3,,the money is NOT in the _room_
public hint,Public Hint #4,,the money is NOT in the _room_
public hint,Public Hint #5,,the money is NOT in the _room_
public hint,Public Hint #6,,the money is NOT in the _room_
public hint,Public Hint #7,,the money is NOT in the _room_
public hint,Public Hint #8,,the money is NOT in the _furniture_
public hint,Public Hint #9,,the money is NOT in the _furniture_
public hint,Public Hint #10,,the money is NOT in the _furniture_
public hint,Public Hint #11,,the money is NOT in the _furniture_
public hint,Public Hint #12,,the money is NOT in the _furniture_
public hint,Public Hint #13,,the money is NOT in the _furniture_
public hint,Public Hint #14,,the money is NOT in the _furniture_
public hint,Public Hint #15,,the money is NOT in the _furniture_
private hint L0,Private Hint #1,,the money is NOT in the _furniture_
private hint L0,Private Hint #2,,the money is NOT in the _furniture_
private hint L0,Private Hint #3,,the money is NOT in the _furniture_
private hint L0,Private Hint #4,,the money is NOT in the _furniture_
private hint L0,Private Hint #5,,the money is NOT in the _room_
private hint L0,Private Hint #6,,the money is NOT in the _room_
private hint L0,Private Hint #7,,the money is NOT in the _room_
private hint L1,Private Hint #8,_personoritemforhint8_, the money is NOT in the _room_
private hint L1,Private Hint #9,_personoritemforhint9_, to find the money you need the _person_
private hint L1,Private Hint #10,_personoritemforhint10_, to find the money you need the _item_
private hint L1,Private Hint #11,_personoritemforhint11_, look for the money in the _room_
private hint L2,Private Hint #12,_personanditemforhint12_, look for the money in the _furniture_
