code,name,rooms,linked code, linked text

101,Dining Room Chair,Dining Room,,
102,Bar Cart,Dining Room,,
103,Dining Room Table,Dining Room,,
104,China Cabinet,Dining Room,,
105,Sofa,Living Room,,
106,Coffee Table,Living Room|Library,,
107,Bed,Bedroom,,
108,Dresser,Bedroom,,
109,Desk,Study|Bedroom,,
110,Refrigerator,Kitchen,,
111,Sink,Kitchen,,
112,Oven,Kitchen,,
113,Kitchen Table,Kitchen,,
114,Pool Table,Lounge,,
115,Pinball Machines,Lounge,,
116,Bookcase,Library,,
117,Hot Tub,Gymnasium,,
118,Treadmill,Gymnasium,,
119,Piano,Music Studio,,
120,Telescope,Study,,
121,Clock,Music Studio|Bedroom|Dining Room|Living Room,,
122,Computer,Study,,
123,Juke Box,Music Studio,,
124,Rug,Bedroom,,
125,Fireplace,Bedroom,,
126,Knight,Bedroom|Library,,
127,Television,Lounge|Gymnasium,,
128,Fish Tank,Library|Gymnasium,,
129,Floor Lamp,Lounge|Gymnasium,,
130,Planter,Kitchen|Music Studio,,
131,Easel,Library,,
132,Black Armchair,Study,,
133,Black Chaise Lounge,Study,,
134,White Armchair,Living Room,,
135,Loveseat,Living Room,,
